produto,sigla_uf,data_coleta,preco_medio,preco_minimo,preco_maximo
Gasolina,RJ,2022-03-29,7.7769291338582677165354,7.290000000000000000,8.380000000000000000
Gasolina,RJ,2022-11-30,5.1263157894736842105263,4.630000000000000000,5.590000000000000000
Gasolina,SP,2022-04-07,6.7982500000000000000000,6.290000000000000000,7.490000000000000000
Gasolina,SP,2022-08-09,5.4066980728051391862955,4.740000000000000000,6.990000000000000000
Gasolina,RJ,2022-01-13,7.3510526315789473684211,6.990000000000000000,7.790000000000000000
Gasolina,SP,2022-08-18,5.2350393700787401574803,4.630000000000000000,6.990000000000000000
Gasolina,RJ,2022-05-10,7.9574747474747474747475,7.590000000000000000,8.490000000000000000
Gasolina,SP,2022-05-17,6.9219125683060109289617,6.250000000000000000,7.790000000000000000
Gasolina,RJ,2022-07-25,6.0220930232558139534884,5.290000000000000000,6.660000000000000000
Gasolina,SP,2022-07-20,5.7342469635627530364372,5.200000000000000000,6.990000000000000000
Gasolina,SP,2022-11-02,4.8724409448818897637795,4.380000000000000000,5.990000000000000000
Gasolina,RJ,2022-01-25,7.2212000000000000000000,6.890000000000000000,7.790000000000000000
Gasolina,RJ,2022-10-31,5.0388888888888888888889,4.740000000000000000,5.590000000000000000
Gasolina,SP,2022-08-26,5.1720000000000000000000,4.890000000000000000,5.390000000000000000
Gasolina,RJ,2022-09-27,4.9655555555555555555556,4.690000000000000000,5.290000000000000000
Gasolina,SP,2022-04-28,6.8992000000000000000000,6.290000000000000000,7.690000000000000000
Gasolina,SP,2022-05-24,6.9173543689320388349515,6.220000000000000000,8.590000000000000000
Gasolina,RJ,2022-05-20,8.2500000000000000000000,8.190000000000000000,8.280000000000000000
Gasolina,SP,2022-08-05,5.6466666666666666666667,5.600000000000000000,5.690000000000000000
Gasolina,SP,2022-09-02,4.7800000000000000000000,4.670000000000000000,4.990000000000000000
Gasolina,RJ,2022-02-18,7.7525000000000000000000,7.690000000000000000,7.790000000000000000
Gasolina,RJ,2022-08-30,5.3688059701492537313433,4.890000000000000000,5.990000000000000000
Gasolina,SP,2022-07-21,5.6857837837837837837838,5.190000000000000000,6.990000000000000000
Gasolina,SP,2022-11-24,4.9660550458715596330275,4.380000000000000000,5.990000000000000000
Gasolina,RJ,2022-09-08,5.2476000000000000000000,4.780000000000000000,5.570000000000000000
Gasolina,RJ,2022-06-22,7.9255555555555555555556,7.380000000000000000,8.390000000000000000
Gasolina,SP,2022-03-02,6.2741694915254237288136,5.650000000000000000,6.990000000000000000
Gasolina,RJ,2022-07-01,7.7166666666666666666667,7.650000000000000000,7.750000000000000000
Gasolina,RJ,2022-08-02,5.7789805825242718446602,5.190000000000000000,6.340000000000000000
Gasolina,SP,2022-04-20,6.9379423076923076923077,6.360000000000000000,8.490000000000000000
Gasolina,SP,2022-12-27,4.9115248226950354609929,4.290000000000000000,6.990000000000000000
Gasolina,SP,2022-03-09,6.2669160997732426303855,5.670000000000000000,7.490000000000000000
Gasolina,SP,2022-03-28,6.8157065217391304347826,6.090000000000000000,7.520000000000000000
Gasolina,SP,2022-06-15,6.8211409395973154362416,6.180000000000000000,7.690000000000000000
Gasolina,RJ,2022-07-27,5.7539473684210526315789,5.390000000000000000,6.790000000000000000
Gasolina,RJ,2022-12-28,5.1621428571428571428571,4.790000000000000000,5.690000000000000000
Gasolina,SP,2022-04-25,6.9700000000000000000000,6.390000000000000000,8.590000000000000000
Gasolina,SP,2022-07-08,5.9938461538461538461538,5.840000000000000000,6.490000000000000000
Gasolina,SP,2022-08-01,5.5344320557491289198606,4.970000000000000000,6.990000000000000000
